AIRPORT,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Pax_In,Pax_Out,latitude,longitude
KARRATHA,1,25231.00,20180.00,0.00,0.00,25231.00,20180.00,-20.71,116.77
ADELAIDE,2,293471.00,285493.00,37176.00,29696.00,330647.00,315189.00,-34.95,138.53
ADELAIDE,3,320056.00,311979.00,33433.00,35570.00,353489.00,347549.00,-34.95,138.53
ADELAIDE,4,320260.00,331591.00,40476.00,41307.00,360736.00,372898.00,-34.95,138.53
ADELAIDE,5,290654.00,292244.00,35227.00,37267.00,325881.00,329511.00,-34.95,138.53
ADELAIDE,6,271998.00,275389.00,37588.00,42099.00,309586.00,317488.00,-34.95,138.53
ADELAIDE,7,309997.00,310862.00,47983.00,43207.00,357980.00,354069.00,-34.95,138.53
ADELAIDE,8,301159.00,297791.00,36769.00,36542.00,337928.00,334333.00,-34.95,138.53
ADELAIDE,9,303309.00,304488.00,36630.00,36812.00,339939.00,341300.00,-34.95,138.53
ADELAIDE,10,340774.00,335237.00,40835.00,35579.00,381609.00,370816.00,-34.95,138.53
ADELAIDE,11,323664.00,323699.00,40857.00,41848.00,364521.00,365547.00,-34.95,138.53
ADELAIDE,12,320167.00,320888.00,44204.00,51530.00,364371.00,372418.00,-34.95,138.53
ROCKHAMPTON,1,23137.00,21781.00,0.00,0.00,23137.00,21781.00,-23.38,150.48
BALLINA,2,24718.00,24905.00,0.00,0.00,24718.00,24905.00,-28.84,153.56
BALLINA,3,26858.00,25954.00,0.00,0.00,26858.00,25954.00,-28.84,153.56
BALLINA,4,25631.00,26794.00,0.00,0.00,25631.00,26794.00,-28.84,153.56
BALLINA,5,21835.00,22396.00,0.00,0.00,21835.00,22396.00,-28.84,153.56
BALLINA,6,21503.00,21225.00,0.00,0.00,21503.00,21225.00,-28.84,153.56
BALLINA,7,26249.00,26428.00,0.00,0.00,26249.00,26428.00,-28.84,153.56
BALLINA,8,24886.00,25156.00,0.00,0.00,24886.00,25156.00,-28.84,153.56
BALLINA,9,27439.00,26218.00,0.00,0.00,27439.00,26218.00,-28.84,153.56
BALLINA,10,28977.00,30004.00,0.00,0.00,28977.00,30004.00,-28.84,153.56
BALLINA,11,28675.00,28789.00,0.00,0.00,28675.00,28789.00,-28.84,153.56
BALLINA,12,30117.00,28942.00,0.00,0.00,30117.00,28942.00,-28.84,153.56
HAMILTON ISLAND,1,19849.00,22780.00,0.00,0.00,19849.00,22780.00,-20.35,148.95
BRISBANE,2,633353.00,637597.00,241020.00,221717.00,874373.00,859314.00,-27.39,153.12
BRISBANE,3,691994.00,687596.00,240810.00,249842.00,932804.00,937438.00,-27.39,153.12
BRISBANE,4,677898.00,672768.00,233829.00,234502.00,911727.00,907270.00,-27.39,153.12
BRISBANE,5,705787.00,700883.00,221626.00,231012.00,927413.00,931895.00,-27.39,153.12
BRISBANE,6,698055.00,711252.00,234534.00,252607.00,932589.00,963859.00,-27.39,153.12
BRISBANE,7,773587.00,750986.00,279427.00,244221.00,1053014.00,995207.00,-27.39,153.12
BRISBANE,8,738386.00,735451.00,248309.00,263879.00,986695.00,999330.00,-27.39,153.12
BRISBANE,9,755785.00,740514.00,260420.00,267838.00,1016205.00,1008352.00,-27.39,153.12
BRISBANE,10,775966.00,793705.00,278725.00,258579.00,1054691.00,1052284.00,-27.39,153.12
BRISBANE,11,742575.00,752242.00,257240.00,275082.00,999815.00,1027324.00,-27.39,153.12
BRISBANE,12,741628.00,731302.00,292785.00,335351.00,1034413.00,1066653.00,-27.39,153.12
PROSERPINE,1,20985.00,22932.00,0.00,0.00,20985.00,22932.00,-20.49,148.56
CAIRNS,2,133177.00,137650.00,25916.00,22413.00,159093.00,160063.00,-16.88,145.75
CAIRNS,3,153296.00,147367.00,24446.00,26343.00,177742.00,173710.00,-16.88,145.75
CAIRNS,4,165086.00,171624.00,23397.00,22580.00,188483.00,194204.00,-16.88,145.75
CAIRNS,5,160997.00,159965.00,20443.00,23586.00,181440.00,183551.00,-16.88,145.75
CAIRNS,6,176673.00,167064.00,22641.00,22635.00,199314.00,189699.00,-16.88,145.75
CAIRNS,7,201172.00,205630.00,27423.00,21350.00,228595.00,226980.00,-16.88,145.75
CAIRNS,8,188138.00,192151.00,27481.00,30285.00,215619.00,222436.00,-16.88,145.75
CAIRNS,9,188611.00,183120.00,27762.00,29529.00,216373.00,212649.00,-16.88,145.75
CAIRNS,10,184965.00,194744.00,30318.00,27470.00,215283.00,222214.00,-16.88,145.75
CAIRNS,11,157626.00,161553.00,25281.00,27624.00,182907.00,189177.00,-16.88,145.75
CAIRNS,12,168072.00,160494.00,29355.00,31908.00,197427.00,192402.00,-16.88,145.75
BALLINA,1,26601.00,27920.00,0.00,0.00,26601.00,27920.00,-28.84,153.56
CANBERRA,2,111444.00,108941.00,544.00,707.00,111988.00,109648.00,-35.31,149.19
CANBERRA,3,121366.00,123362.00,1001.00,927.00,122367.00,124289.00,-35.31,149.19
CANBERRA,4,113579.00,114353.00,1140.00,1177.00,114719.00,115530.00,-35.31,149.19
CANBERRA,5,116763.00,119036.00,1048.00,1085.00,117811.00,120121.00,-35.31,149.19
CANBERRA,6,112740.00,112096.00,1750.00,1911.00,114490.00,114007.00,-35.31,149.19
CANBERRA,7,117143.00,116911.00,2857.00,2623.00,120000.00,119534.00,-35.31,149.19
CANBERRA,8,120034.00,121472.00,1950.00,2057.00,121984.00,123529.00,-35.31,149.19
CANBERRA,9,120587.00,121662.00,1776.00,1939.00,122363.00,123601.00,-35.31,149.19
CANBERRA,10,127043.00,123300.00,1928.00,1845.00,128971.00,125145.00,-35.31,149.19
CANBERRA,11,130290.00,129943.00,1092.00,1123.00,131382.00,131066.00,-35.31,149.19
CANBERRA,12,108371.00,116941.00,1800.00,2008.00,110171.00,118949.00,-35.31,149.19
MACKAY,1,32951.00,30481.00,0.00,0.00,32951.00,30481.00,-21.17,149.19
DARWIN,2,47084.00,47414.00,7541.00,6586.00,54625.00,54000.00,-12.42,130.88
DARWIN,3,55733.00,54290.00,7612.00,7730.00,63345.00,62020.00,-12.42,130.88
DARWIN,4,65696.00,62112.00,8507.00,8090.00,74203.00,70202.00,-12.42,130.88
