,AIRPORT,Year,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,lattitude,longitude
0,ADELAIDE,2024,1,298535,303488,602023,59785,42023,101808,358320,345511,703831,-34.9462,138.531
1,ADELAIDE,2024,2,293471,285493,578964,37176,29696,66872,330647,315189,645836,-34.9462,138.531
2,ADELAIDE,2024,3,320056,311979,632035,33433,35570,69003,353489,347549,701038,-34.9462,138.531
3,ADELAIDE,2024,4,320260,331591,651851,40476,41307,81783,360736,372898,733634,-34.9462,138.531
4,ADELAIDE,2024,5,290654,292244,582898,35227,37267,72494,325881,329511,655392,-34.9462,138.531
5,ADELAIDE,2024,6,271998,275389,547387,37588,42099,79687,309586,317488,627074,-34.9462,138.531
6,ADELAIDE,2024,7,309997,310862,620859,47983,43207,91190,357980,354069,712049,-34.9462,138.531
7,ADELAIDE,2024,8,301159,297791,598950,36769,36542,73311,337928,334333,672261,-34.9462,138.531
8,ADELAIDE,2024,9,303309,304488,607797,36630,36812,73442,339939,341300,681239,-34.9462,138.531
9,ADELAIDE,2024,10,340774,335237,676011,40835,35579,76414,381609,370816,752425,-34.9462,138.531
10,ADELAIDE,2024,11,323664,323699,647363,40857,41848,82705,364521,365547,730068,-34.9462,138.531
11,ADELAIDE,2024,12,320167,320888,641055,44204,51530,95734,364371,372418,736789,-34.9462,138.531
12,BALLINA,2024,1,26601,27920,54521,0,0,0,26601,27920,54521,-28.8375,153.5563
13,BALLINA,2024,2,24718,24905,49623,0,0,0,24718,24905,49623,-28.8375,153.5563
14,BALLINA,2024,3,26858,25954,52812,0,0,0,26858,25954,52812,-28.8375,153.5563
15,BALLINA,2024,4,25631,26794,52425,0,0,0,25631,26794,52425,-28.8375,153.5563
16,BALLINA,2024,5,21835,22396,44231,0,0,0,21835,22396,44231,-28.8375,153.5563
17,BALLINA,2024,6,21503,21225,42728,0,0,0,21503,21225,42728,-28.8375,153.5563
18,BALLINA,2024,7,26249,26428,52677,0,0,0,26249,26428,52677,-28.8375,153.5563
19,BALLINA,2024,8,24886,25156,50042,0,0,0,24886,25156,50042,-28.8375,153.5563
20,BALLINA,2024,9,27439,26218,53657,0,0,0,27439,26218,53657,-28.8375,153.5563
21,BALLINA,2024,10,28977,30004,58981,0,0,0,28977,30004,58981,-28.8375,153.5563
22,BALLINA,2024,11,28675,28789,57464,0,0,0,28675,28789,57464,-28.8375,153.5563
23,BALLINA,2024,12,30117,28942,59059,0,0,0,30117,28942,59059,-28.8375,153.5563
24,BRISBANE,2024,1,626280,631193,1257473,284827,238356,523183,911107,869549,1780656,-27.3946,153.1237
25,BRISBANE,2024,2,633353,637597,1270950,241020,221717,462737,874373,859314,1733687,-27.3946,153.1237
26,BRISBANE,2024,3,691994,687596,1379590,240810,249842,490652,932804,937438,1870242,-27.3946,153.1237
27,BRISBANE,2024,4,677898,672768,1350666,233829,234502,468331,911727,907270,1818997,-27.3946,153.1237
28,BRISBANE,2024,5,705787,700883,1406670,221626,231012,452638,927413,931895,1859308,-27.3946,153.1237
29,BRISBANE,2024,6,698055,711252,1409307,234534,252607,487141,932589,963859,1896448,-27.3946,153.1237
30,BRISBANE,2024,7,773587,750986,1524573,279427,244221,523648,1053014,995207,2048221,-27.3946,153.1237
31,BRISBANE,2024,8,738386,735451,1473837,248309,263879,512188,986695,999330,1986025,-27.3946,153.1237
32,BRISBANE,2024,9,755785,740514,1496299,260420,267838,528258,1016205,1008352,2024557,-27.3946,153.1237
33,BRISBANE,2024,10,775966,793705,1569671,278725,258579,537304,1054691,1052284,2106975,-27.3946,153.1237
34,BRISBANE,2024,11,742575,752242,1494817,257240,275082,532322,999815,1027324,2027139,-27.3946,153.1237
35,BRISBANE,2024,12,741628,731302,1472930,292785,335351,628136,1034413,1066653,2101066,-27.3946,153.1237
36,CAIRNS,2024,1,150684,160317,311001,29351,26377,55728,180035,186694,366729,-16.8778,145.7499
37,CAIRNS,2024,2,133177,137650,270827,25916,22413,48329,159093,160063,319156,-16.8778,145.7499
38,CAIRNS,2024,3,153296,147367,300663,24446,26343,50789,177742,173710,351452,-16.8778,145.7499
39,CAIRNS,2024,4,165086,171624,336710,23397,22580,45977,188483,194204,382687,-16.8778,145.7499
40,CAIRNS,2024,5,160997,159965,320962,20443,23586,44029,181440,183551,364991,-16.8778,145.7499
41,CAIRNS,2024,6,176673,167064,343737,22641,22635,45276,199314,189699,389013,-16.8778,145.7499
42,CAIRNS,2024,7,201172,205630,406802,27423,21350,48773,228595,226980,455575,-16.8778,145.7499
43,CAIRNS,2024,8,188138,192151,380289,27481,30285,57766,215619,222436,438055,-16.8778,145.7499
44,CAIRNS,2024,9,188611,183120,371731,27762,29529,57291,216373,212649,429022,-16.8778,145.7499
45,CAIRNS,2024,10,184965,194744,379709,30318,27470,57788,215283,222214,437497,-16.8778,145.7499
46,CAIRNS,2024,11,157626,161553,319179,25281,27624,52905,182907,189177,372084,-16.8778,145.7499
47,CAIRNS,2024,12,168072,160494,328566,29355,31908,61263,197427,192402,389829,-16.8778,145.7499
48,CANBERRA,2024,1,99608,88844,188452,1235,1767,3002,100843,90611,191454,-35.3053,149.1933
49,CANBERRA,2024,2,111444,108941,220385,544,707,1251,111988,109648,221636,-35.3053,149.1933
50,CANBERRA,2024,3,121366,123362,244728,1001,927,1928,122367,124289,246656,-35.3053,149.1933
51,CANBERRA,2024,4,113579,114353,227932,1140,1177,2317,114719,115530,230249,-35.3053,149.1933
52,CANBERRA,2024,5,116763,119036,235799,1048,1085,2133,117811,120121,237932,-35.3053,149.1933
53,CANBERRA,2024,6,112740,112096,224836,1750,1911,3661,114490,114007,228497,-35.3053,149.1933
